,a1 x,a1 y,a1 lenSum,a1 sd,a1 rt,a2 x,a2 y,a2 lenSum,a2 sd,a2 rt,a3 x,a3 y,a3 lenSum,a3 sd,a3 rt,a4 x,a4 y,a4 lenSum,a4 sd,a4 rt
1070,23326.446428571428,26405.51785714286,984881.1959857005,6861.173570365614,2.8371810913085938e-05,23326.446428571428,26405.51785714286,984881.1959857005,6861.173570365614,0.0005290508270263672,23716.0478867597,26305.4465137629,984690.664591906,6881.65459780702,5.6807379722595215,23129.94156891468,25916.02645139922,985188.5623385449,6867.37415821026,0.0018029212951660156
1071,23794.714285714286,22254.785714285714,1060230.6760753873,8168.616532658993,6.604194641113281e-05,23794.714285714286,22254.785714285714,1060230.6760753873,8168.616532658993,0.0005700588226318359,24237.0867926015,22489.4524931840,1059937.54988145,8196.04984142845,5.323625802993774,24876.091945292832,23685.125761016072,1062245.0951840084,8281.19360976115,0.0016391277313232422
1072,24604.660714285714,27798.76785714286,978420.6341316977,7112.011749662416,3.695487976074219e-05,24604.660714285714,27798.76785714286,978420.6341316977,7112.011749662416,0.0005772113800048828,24897.5096493525,29309.0864762275,975691.850141231,7392.42185900705,6.134917974472046,24171.644939851652,27156.07952800754,982654.5227852941,6966.608221175713,0.0012087821960449219
1073,25358.321428571428,23812.553571428572,1101652.5450671804,7681.951929909819,3.0040740966796875e-05,25358.321428571428,23812.553571428572,1101652.5450671804,7681.951929909819,0.0005202293395996094,25531.2554227573,21720.8437039444,1097943.41812873,8125.21568969488,6.769349098205566,24890.955310784087,24310.120361843965,1103778.5651950927,7614.672618245378,0.0012171268463134766
1074,27484.39285714286,26813.375,1019002.4230286775,7184.4020518102325,3.0994415283203125e-05,27484.39285714286,26813.375,1019002.4230286775,7184.4020518102325,0.0005140304565429688,27955.7199061528,26557.2006883916,1018723.04639748,7216.98981747420,5.260800838470459,26219.767475033084,26773.748794201907,1021915.3244495204,7163.850632145263,0.0012621879577636719
1075,20638.60714285714,23252.48214285714,1083295.926920684,7778.652105544992,2.9087066650390625e-05,20638.60714285714,23252.48214285714,1083295.926920684,7778.652105544992,0.0005571842193603516,19065.5847550400,24395.4743923217,1080217.72900460,8149.34939287428,6.9045751094818115,20390.321183329866,20856.872429112853,1093924.3137790351,7676.528236722548,0.0011661052703857422
1076,22730.678571428572,27013.39285714286,1056006.149970341,7639.059639695978,3.0040740966796875e-05,22730.678571428572,27013.39285714286,1056006.149970341,7639.059639695978,0.0005178451538085938,22421.2667640451,27365.3310556424,1055782.68299044,7663.24418661018,5.361911058425903,23755.11579300112,26453.5911588313,1058295.94528996,7627.207469407819,0.001348257064819336
1077,28806.910714285714,24731.160714285714,1161400.7979640795,7049.468104446756,3.1948089599609375e-05,28806.910714285714,24731.160714285714,1161400.7979640795,7049.468104446756,0.0005779266357421875,30170.1606306483,24113.2584902940,1159626.84260150,7297.13644488018,7.418127059936523,26896.35272530588,24955.04259278662,1169061.9866173868,6906.66916828202,0.0016009807586669922
1078,25229.803571428572,25965.089285714286,1088113.5804395555,7301.603176914545,3.0040740966796875e-05,25229.803571428572,25965.089285714286,1088113.5804395555,7301.603176914545,0.0005218982696533203,24435.1704885206,26025.1361554298,1087406.28351618,7378.28743562915,6.750638008117676,24161.825160252334,25708.8222643173,1087576.6152904928,7408.926686244836,0.0033299922943115234
1079,24859.98214285714,25048.76785714286,1150474.9754828769,5659.750884492467,2.6702880859375e-05,24859.98214285714,25048.76785714286,1150474.9754828769,5659.750884492467,0.0005309581756591797,22915.9226544299,25303.3042144599,1147741.05406992,6154.71275240749,6.503037929534912,24465.961941106623,24642.903167030487,1149777.2810487421,5732.758164720996,0.0011208057403564453
1080,24849.21052631579,26590.491228070176,1180877.2412180575,6370.61205148333,5.1975250244140625e-05,24849.21052631579,26590.491228070176,1180877.2412180575,6370.61205148333,0.0015239715576171875,23826.8422843546,26572.1198602640,1180014.52974129,6500.55098484922,6.51465106010437,25359.34222143765,26979.387578536593,1182057.7708633493,6335.42391596799,0.0012679100036621094
1081,26320.59649122807,22620.754385964912,1113360.0532082375,7408.979446436569,2.9087066650390625e-05,26320.59649122807,22620.754385964912,1113360.0532082375,7408.979446436569,0.0005497932434082031,27218.2759765869,21933.1065390073,1112183.13095913,7548.36726025025,6.0488927364349365,25638.22369675021,23001.358449819323,1115564.2504543802,7347.878222885755,0.0012600421905517578
1082,26305.157894736843,23916.859649122805,1093004.2895127237,6424.426901319602,3.0994415283203125e-05,26305.157894736843,23916.859649122805,1093004.2895127237,6424.426901319602,0.0005502700805664062,26935.9917809808,24544.0838691681,1092158.80223818,6529.41556489282,5.241511106491089,25864.366142658582,24420.172850912473,1093254.0979248213,6446.145049117901,0.0013031959533691406
1083,27616.64912280702,24910.105263157893,1051666.0398042607,7511.515116934182,3.075599670410156e-05,27616.64912280702,24910.105263157893,1051666.0398042607,7511.515116934182,0.0006020069122314453,29168.3107558637,25067.0406960234,1049675.31240701,7755.17091073303,7.116553068161011,27712.002581829365,25495.32143347366,1052167.5712626497,7513.299648020815,0.001291036605834961
1084,22963.315789473683,23874.491228070176,1035332.0051115268,7275.16380521139,2.8848648071289062e-05,22963.315789473683,23874.491228070176,1035332.0051115268,7275.16380521139,0.0005519390106201172,22756.6942443074,23880.7617816069,1035289.26853910,7279.97092265153,4.878811836242676,23666.118101076525,24368.564921377514,1036411.9672360658,7278.5578304580495,0.0018401145935058594
1085,25789.35087719298,22961.877192982458,1046766.6429449916,7243.486016114229,6.580352783203125e-05,25789.35087719298,22961.877192982458,1046766.6429449916,7243.486016114229,0.0007531642913818359,26158.7958118544,22366.9657202468,1045844.52254625,7317.95168355148,79.89285588264465,25920.878162443136,23605.57315404465,1048198.4755537829,7209.471793791113,0.001422882080078125
